T,TM,SLP,H,VV,V,VM,PM2.5
34.9,40,26,999.4,38,2.6,6.7, ,45.375
37.3,42.5,28.7,996.6,32,3.4,12.2, ,65.16666666666667
31.7,43,26,1003.5,51,3.2,14.3, ,66.08333333333333
30.3,37.2,25,1002.1,62,3.5,8.9, ,77.66666666666667
32.9,37,26.4,1000.6,53,2.7,4.8, ,70.25
36.6,42,28.1,997.5,33,3.5,13.3, ,56.291666666666664
36.1,42,29,1000.4,37,2.9,12.8, ,77.0
34.7,41.6,28.6,998.9,39,3.1,11.3, ,32.958333333333336
30.2,37,24,998,72,3.2,10.2, ,80.625
27.6,37.4,23.2,998.3,79,2.6,5.6, ,90.70833333333333
27.7,32.2,23.7,999,85,2.4,6.7, ,97.29166666666667
35.7,39,30,997.7,58,3.1,6.7, ,50.708333333333336
35.2,39.4,30.4,998.9,62,3.4,7.6, ,40.375
35.6,39,30.5,998.5,59,3.4,9.4, ,49.416666666666664
30.3,34.5,25.4,995.6,84,2.4,3.3, ,61.875
28.1,35.1,26,996.9,91,1.9,6.5, ,0.0
32,37,26.7,996.5,75,2.3,3.7, ,29.666666666666668
31.3,35.8,25.2,1000.4,74,2.7,3.9, ,49.125
31.9,36.5,28.2,999.1,72,2.4,6.3, ,43.666666666666664
34.4,37.6,29.6,998.6,58,2.9,7.4, ,29.833333333333332
31.1,35,27,999.4,69,3.2,7.8, ,35.208333333333336
33.2,36.5,28.4,999.6,64,3.7,9.6, ,37.625
31.6,36.4,28.4,1000.2,76,3.2,6.1, ,41.458333333333336
34.1,38,28,997.6,64,2.7,5, ,38.583333333333336
29.2,38.4,25,998,84,2.3,6.9, ,36.0
32.5,36,28,997.5,70,3.1,10, ,70.58333333333333
29.6,33.4,26.6,997.3,84,2.4,9.3, ,33.166666666666664
31.6,35,26.4,999.1,74,3.2,8.9, ,38.25
32.2,35,28.6,1000.7,69,3.7,9.3, ,26.583333333333332
28.3,34.1,27,1001.1,89,2.1,4.6, ,15.416666666666666
28.8,32,26.8,1001.6,84,2.3,9.6, ,41.375
29.8,32,27,1000.2,78,2.7,10.2, ,25.541666666666668
31.2,35,27.3,997.2,69,2.9,18.7, ,28.375
29.8,36.1,26,1001.8,84,2.3,3.5, ,50.333333333333336
31.7,36,26.5,1001.5,77,2.7,4.8, ,35.375
29.2,35.6,27,999.3,87,1.6,3.5, ,31.916666666666668
31.3,35,27.3,1001.2,68,2.9,13.1, ,35.291666666666664
31.6,36,27.4,1003.3,63,3.7,7.2, ,26.833333333333332
27.9,37.8,26,1003.2,92,1.6,6.1, ,35.708333333333336
32,36,26.5,1001.8,70,3.1,9.6, ,43.583333333333336
32.1,36,28.3,1001.3,72,3.2,8.5, ,46.041666666666664
31.1,35,27.2,999.9,76,2.4,3.9, ,82.875
29.1,35.3,25.2,1000.4,84,2.4,4.3, ,64.91666666666667
31,36,24.8,1000,71,3.2,3.7, ,30.666666666666668
28.2,35.5,25.6,1003.7,89,1.6,6.1, ,34.416666666666664
28.7,33,25.5,1002.6,81,2.3,9.4, ,33.166666666666664
28.2,32.6,26,1002.8,78,2.7,9.8, ,30.625
30.7,35,25.2,1003.9,70,3.4,8.1, ,30.333333333333332
28.9,36.1,24.2,1005.5,76,2.9,6.7, ,0.0
31.2,35,26.5,1005.5,67,2.7,5.7, ,0.0
31.6,35.1,26.8,1003.9,65,3.1,6.7, ,0.0
32.2,36.2,27,1006.2,63,2.9,4.6, ,76.875
32.1,36.6,27.5,1005.6,67,2.4,3, ,83.45833333333333
32.7,36.1,27,1005.1,53,2.9,6.7, ,71.66666666666667
31.6,36,25.6,1002.8,59,2.6,1.1, ,69.70833333333333
31.6,37,25,1002.9,57,2.7,3, ,62.375
30.7,36.9,24.8,1002.7,69,2.9,6.9, ,24.875
30.2,35,23.8,1004.5,67,3.1,8.9, ,43.958333333333336
30.4,35.1,25,1005.7,66,3.4,5.7, ,41.5
30.8,36,23.8,1005.9,58,3.1,2.6, ,38.791666666666664
28.8,36,22,1005.9,55,3.4,5.7, ,30.333333333333332
29.9,36.4,21.9,1006,47,3.9,8, ,26.666666666666668
30.5,36.4,21.3,1007.9,53,3.7,7.2, ,29.0
29.6,36,21.6,1007.6,54,2.9,6.1, ,61.708333333333336
28.8,35.8,22.4,1006.9,63,2.6,3.9, ,60.541666666666664
29.6,36,22.5,1007.6,58,2.7,2.4, ,41.583333333333336
29,35,21.6,1004.5,57,2.6,4.4, ,80.04166666666667
28.8,36.4,21.5,1004.4,56,2.6,2.4, ,82.83333333333333
28.2,36.5,19.2,1005.1,54,2.7,3.5, ,95.25
28.5,36,19.4,1008.8,58,2.4,0.6, ,126.16666666666667
27.8,36.3,20.5,1007.5,62,1.3,2, ,136.70833333333334
25.9,35.3,18.4,1005.6,61,1.6,3.1, ,160.66666666666666
23.8,33,17,1013.7,63,1.6,2.6, ,245.66666666666666
23.8,33.1,16.1,1014,67,1.9,0.7, ,261.6666666666667
23.8,33.2,17.3,1012.8,69,1.8,0.7, ,272.4166666666667
22.6,30,16.4,1013.3,77,1.1,0, ,149.625
23.5,31.4,17.6,1014,72,1.6,1.7, ,99.70833333333333
23.3,32,19.4,1012.9,79,1.3,2.6, ,217.375
22.7,30.3,17.5,1013.5,78,1.1,0.4, ,309.375
21.1,30,16,1014.4,73,0.6,1.9,o,321.5416666666667
19.7,30.2,14,1014,82,0.3,0.4,o,278.0
20.1,30.4,13.8,1013.2,71,0.5,0.9,o,192.33333333333334
19.3,28.5,12.4,1010.9,74,0.6,0.4,o,224.16666666666666
20.1,28.5,14.6,1011.2,73,0.8,1.9, ,196.75
18.8,27.7,13.2,1012.4,76,1.1,0.6, ,221.54166666666666
18.1,24.3,13.5,1016.5,60,1.8,5.6, ,166.70833333333334
15.9,24.5,9.4,1017.3,58,1.4,3.9, ,130.70833333333334
16,24.4,10.2,1015.1,59,1.8,5.2, ,194.70833333333334
16.9,26.5,8.6,1016,57,1.9,3.5, ,134.45833333333334
16.9,27.5,8.6,1016.7,63,1.6,1.1, ,110.0
16.3,27.5,9,1013.9,63,1.9,5, ,160.0
15.7,27.1,8.2,1015.7,66,1.6,1.7, ,118.91666666666667
15.2,26,7.4,1017,65,1.6,0, ,176.375
15.1,26.4,8,1016.6,72,1.3,0.7, ,185.95833333333334
17.4,25,12,1015.7,47,1.9,6.1, ,239.125
16.6,25.2,9.4,1015.4,52,1.9,6.7, ,365.2916666666667
16.1,26.6,0.7,1015.3,60,1.9,1.7, ,312.2083333333333
15.7,21.7,12,1018.2,85,1,3.3,o,121.33333333333333
13.6,21.3,9.6,1020.1,83,0.8,4.8,o,202.875
12.7,19.5,8,1021,78,1,6.1, ,260.1666666666667
15.2,25.6,9.6,1019.9,70,1.4,4.4, ,277.7083333333333
16.4,23.7,9.6,1020.6,82,0.5,2.8,o,284.1666666666667
17.4,25,12,1020.8,76,0.8,1.3,o,288.4166666666667
13.5,25.1,7,1017.8,79,1,3.9,o,166.91666666666666
14.4,23.2,7.1,1017.7,74,1.3,2,o,169.0
15.1,25,7.6,1017.1,71,1.3,3.5, ,186.04166666666666
